,Orig_index,Summary Stat,Percent stdev,Standard deviation,Mean,Exp 01,Exp 02,Exp 03,Exp 04,Exp 05,Exp 06,Exp 07,Exp 08,Exp 09,Exp 10,Exp 11,Exp 12,Exp 13,Exp 14,Exp 15,Exp 16,Exp 17,Exp 18,Exp 19,Exp 20,Exp 21
Resistance for Block 10,#N/A,Average Impedance for Frequencies between 1 Hz and 10 Hz for Block 8,0.0273631,0.000258617,0.009451305,0.009563119,0.009665541,0.009435011,0.009693163,0.009013056,0.009500058,0.009758398,0.009261378,0.0093518,0.009833237,0.009085563,0.00933658,0.009524805,0.009204859,0.009683759,0.009664355,0.008931771,0.009425775,0.009808342,0.009165304,0.009571536
dV/dt for Block 10,#N/A,Average Phase for Frequenecies between 1 Hz and 10 Hz for Block 8,0.089299738,0.954636466,-10.69024938,-11.06968342,-8.665394,-11.83777645,-11.52954902,-9.446271117,-11.58382147,-10.89244333,-10.04690338,-10.46303212,-11.58810973,-9.12903015,-10.80265047,-11.31178865,-9.800497383,-11.686896,-11.52410873,-9.237543167,-11.25795925,-11.10206917,-9.9581026,-11.56160748
dV/dQ for Block 10,35,Total power for Block 8,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,
V0 for Block 11,#N/A,V0 for Block 9,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,
k for Block 11,#N/A,k for Block 9,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,
final V for Block 11,36,Final V for Block 9,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,
Resistance for Block 12,37,Resistance for Block 10,0.038885358,0.001398991,0.035977321,0.034743201,0.035902778,0.036748174,0.036380636,0.035535715,0.03626083,0.034679978,0.038042565,0.037823165,0.037499166,0.035175164,0.032827899,0.034775688,0.037250596,0.037858551,0.037233055,0.035469045,0.034836385,0.034628626,0.037465851,0.034386669
dV/dt for Block 12,38,dV/dt for Block 10,0.041391373,5.32E-06,0.000128463,0.000124236,0.000128333,0.00013125,0.00013,0.000127014,0.000129514,0.000123958,0.000135764,0.000135,0.000134167,0.000125833,0.000114328,0.000124375,0.000133264,0.000135347,0.000133056,0.000126875,0.000124583,0.000123889,0.000133958,0.000122986
dV/dQ for Block 12,39,dV/dQ for Block 10,0.041957237,2.09E-06,4.99E-05,4.81E-05,4.98E-05,5.10E-05,5.05E-05,4.93E-05,5.03E-05,4.81E-05,5.28E-05,5.25E-05,5.20E-05,4.88E-05,4.45E-05,4.82E-05,5.17E-05,5.26E-05,5.17E-05,4.92E-05,4.83E-05,4.80E-05,5.20E-05,4.77E-05
V0 for Block 13,40,V0 for Block 11,0.002262956,0.007943507,3.510235191,3.51291908,3.506936811,3.505564529,3.506614369,3.509021031,3.506851589,3.528232494,3.499164044,3.500456223,3.503332915,3.525017141,3.523418548,3.512664558,3.517571482,3.500687104,3.504716457,3.510264284,3.512786879,3.513408183,3.501916689,3.513394608
